Month,HDB 1-Room,HDB 2-Room,HDB 3-Room,HDB 4-Room,HDB 5-Room,HDB Executive,Apartment,Terrace,Semi-Detached,Bungalow
Jan-24,7.8,9.3,12,15,16.1,18.1,12.8,24.3,30,49.4
Feb-24,8,9.3,12.2,15.5,16.7,18.8,13.1,25.8,30.7,46.3
Mar-24,8.3,9.7,12.8,16.2,17.8,19.9,14.4,28,34.9,59.5
Apr-24,8.4,10,12.9,16.3,17.7,19.7,14.3,28.4,34.6,58.1
May-24,8.1,9.5,12,15.3,16.7,18.6,13.2,24.2,30.2,50.4
Jun-24,7.7,8.7,11.5,14.7,16,17.7,12.7,24.1,28.3,42.1
Jul-24,7.5,8.7,11.6,14.6,15.6,17.7,12.5,24.7,30,49.6
Aug-24,8.1,9.4,12.4,15.6,16.9,18.8,13.1,25.7,31.5,48.1
Sept-24,8.3,9.5,12.5,15.7,17.1,19.1,13.8,26.7,33.4,54.7
Oct-24,7.9,9.2,12.2,15.3,16.7,18.5,13.8,25.9,31.4,52.4
Nov-24,8.1,9.3,12.2,15.5,17,18.8,13.8,26.2,32.2,52.4
Dec-24,7.8,9,12,15.1,16.4,18.1,13.3,25.6,30.9,50.2
